"","speakerName","speakerPrice","speakerRatings","speakerReview","Name","productname","productreviewer","datereviewed","reviews","rating"
"1","Logitech Z906 5.1 Surround Sound Speaker System, THX, Dolby & DTS Certified, 1000 Watts Peak Power, Multi -Device, Multiple Audio Inputs, UK Plug, PC/PS4/Xbox/Music Player/TV/Smartphone/Tablet","£33.32£33.32","4.7 out of 5 stars","3,014",NA,NA,NA,NA,NA,NA
"2","Bose Home Speaker 500 with Amazon Alexa and Google Assistant Built In - Black","£80.72£80.72","4.4 out of 5 stars","1,054",NA,NA,NA,NA,NA,NA
"3","Herdio 160W 4 Inch Ceiling Speaker Kit Amplifier Water Resistant Ceiling Speakers For Bathroom Kitchen Home Outdoor,compatible with Bluetooth","£107.99£107.99","4.3 out of 5 stars","773",NA,NA,NA,NA,NA,NA
"4","Denon SCN10 Speakers, Two-Way HiFi Speakers for TV Sound System, 2x 65W, Compatible with Receivers & Amplifiers, Elegant Design - Black SCN10BKEM","£190.39£190.39","4.3 out of 5 stars","396",NA,NA,NA,NA,NA,NA
"5","Sonos Amp SNS-AMPG1EU1BLK","£24.29£24.29","4.3 out of 5 stars","36",NA,NA,NA,NA,NA,NA
"6","Trust Gaming GXT 658 Tytan 5.1 Surround Sound Speaker System, PC Speakers with Subwoofer, UK Plug, LED Illuminated, 180 W - Black/Blue","£33.29£33.29","4.4 out of 5 stars","542",NA,NA,NA,NA,NA,NA
"7","LG Electronics SPK8 Kabellos Speaker System Black","£494.95£494.95","4.6 out of 5 stars","2,087",NA,NA,NA,NA,NA,NA
"8","Logitech Z407 Bluetooth Computer Speakers with Subwoofer and Wireless Control, Space-Filling Sound, Premium Audio with Multiple Inputs, USB Speakers - Black","£91.66£91.66","4.5 out of 5 stars","2,122",NA,NA,NA,NA,NA,NA
"9","Pioneer TS-G1030F 10cm 3-way Coaxial Speakers (210W)","£207.50£207.50","4.4 out of 5 stars","882",NA,NA,NA,NA,NA,NA
"10","Bose Virtually Invisible791 In-Ceiling Speaker II - Black","£215.83£215.83","4.7 out of 5 stars","176",NA,NA,NA,NA,NA,NA
"11","Edifier MR4 Powered Studio Monitor 2.0 Speakers 42 Watts (White)","£35.82£35.82","4.4 out of 5 stars","1,168",NA,NA,NA,NA,NA,NA
"12","Audioengine A2+ Wireless Bluetooth Computer Speakers - 60W Music System for Home, Studio, Gaming (White, Pair)","£188.10£188.10","4.3 out of 5 stars","2,282",NA,NA,NA,NA,NA,NA
"13","Herdio 160W 4 Inch Ceiling Bluetooth Speaker Kit Amplifier Water Resistant Ceiling Speakers For Bathroom Kitchen Home Outdoor (BLACK)","£28.55£28.55","4.3 out of 5 stars","773",NA,NA,NA,NA,NA,NA
"14","Logitech Z533 multimedia speaker system black","£274.99£274.99",NA,"4,850",NA,NA,NA,NA,NA,NA
"15","Panasonic SC-AKX520E-K 650W Wireless Megasound Hi-Fi Speaker System with Bluetooth and Karaoke,Black","£91.66£91.66",NA,"103",NA,NA,NA,NA,NA,NA
"16","Panasonic SC-AKX710E-K 2000W Wireless Megasound Hi-Fi Speaker System with Bluetooth and Karaoke, Black","£99.99£99.99",NA,"158",NA,NA,NA,NA,NA,NA
"17","Sangean PS-300 Pillow Speaker with In-line Volume Control and Amplifier (White)","£72.39£72.39",NA,"2,050",NA,NA,NA,NA,NA,NA
"18","Systemline E50 Built-In Bluetooth Hi-Fi Speaker System and Q Acoustics Qi65CB Ceiling Speakers (2 Pair 6.5"" Qi65CB Ceiling Speakers)","£91.66£91.66",NA,"57",NA,NA,NA,NA,NA,NA
"19","Herdio 4 Inches 160 Watts Bluetooth Ceiling Speakers For Bathroom, Kitchen,Living Room,Office (2 Pairs)","£99.99£99.99",NA,"253",NA,NA,NA,NA,NA,NA
"20","i-Star Ceiling Bluetooth Speakers Complete Kit - Easy To Install Ceiling Speakers Fit in Existing Downlight Cut-Out Easy To Pair Bluetooth White","£449.10£449.10",NA,"714",NA,NA,NA,NA,NA,NA
"21","Pioneer TS-G1010F 10cm Dual Cone Speakers (190W) , Black","£33.32£33.32","4.4 out of 5 stars","1,914",NA,NA,NA,NA,NA,NA
"22","JBL Club 6520 2-Way Car Speaker Set by Harman Kardon - 150 Watt Car Audio System 16.5 cm / 6-1/2 inch Car Speakers","£80.72£80.72","4.4 out of 5 stars","474",NA,NA,NA,NA,NA,NA
"23","Edifier S350DB Bookshelf Speaker and Subwoofer 2.1 Speaker System Bluetooth v4.1 aptX Wireless Sound For Computer Rooms, Living Rooms and Dens","£107.99£107.99","4.4 out of 5 stars","1,436",NA,NA,NA,NA,NA,NA
"24","JBL Quantum Duo gaming speakers, USB powered, pc speakers, powerful JBL sound with LED colour lights, in black","£190.39£190.39","4.4 out of 5 stars","655",NA,NA,NA,NA,NA,NA
"25","LuluDa 4 PCS Speaker 3 Watt 8 Ohm Mini Speaker 8ohm 3w Loundspeaker Micro Linksys HDMI Speaker For Small Electronic Projects Advertising Machines LCD TV Monitors Black","£24.29£24.29","4.4 out of 5 stars","235",NA,NA,NA,NA,NA,NA
"26","Klipsch R-40SA Dolby Atmos Surround Sound Speakers (Pair)","£33.29£33.29","4.4 out of 5 stars","61",NA,NA,NA,NA,NA,NA
"27","JBL Stage2 524 2-Way Car Speakers Set - 210 Watt JBL Car Audio 5-1/4 inch","£494.95£494.95","4.5 out of 5 stars","516",NA,NA,NA,NA,NA,NA
"28","e-audio 5.25 3-Way Background Music Speakers With Brackets 160W 4 Ohm","£91.66£91.66","4.5 out of 5 stars","5",NA,NA,NA,NA,NA,NA
"29","JBL Stage2 604C 2-Way Car Audio System - 270 Watt Component Car Speaker Box Set with 6.5"" inch (160mm) In-Dash Speakers and In-Dash Tweeter","£207.50£207.50","4.5 out of 5 stars","441",NA,NA,NA,NA,NA,NA
"30","Audioflow 4 Way Speaker Switch Selector Box Smart Wi-Fi","£215.83£215.83","4.3 out of 5 stars","77",NA,NA,NA,NA,NA,NA
"31","Cardo Speaker Audio Set 45 mm","£35.82£35.82","4.6 out of 5 stars","1,361",NA,NA,NA,NA,NA,NA
"32","Loops 100W Speaker System - Bluetooth In-Wall Mounted Amplifier - 4x 80W Moisture Resistant Stereo Bathroom Ceiling Speaker Kit - Wireless Music Streaming Amp","£188.10£188.10","4.3 out of 5 stars","4",NA,NA,NA,NA,NA,NA
"33","Sony SA-RS3S Twin Wireless Rear Speakers","£28.55£28.55","4.3 out of 5 stars","27",NA,NA,NA,NA,NA,NA
"34","Systemline E50 Built-In Bluetooth Amplifier Hi-Fi Speaker System (White) & 6.5"" Ceiling Speakers (2 Pair 6.5"" Qi65CB Ceiling Speakers)","£274.99£274.99","4.6 out of 5 stars","53",NA,NA,NA,NA,NA,NA
"35","Denon SCN10 Speakers, Two-Way HiFi Speakers for TV Sound System, 2x 65W, Compatible with Receivers & Amplifiers, Elegant Design - Grey","£91.66£91.66","4.7 out of 5 stars","396",NA,NA,NA,NA,NA,NA
"36","Dual Waterproof Outdoor Speaker System - 5.25'' Pair of Weatherproof Wall / Spring Loaded Speaker Terminal w/ Heavy Duty Grill, Universal Mount, For Pool, Patio, & Indoor Use- Pyle PDWR40B (Black)","£99.99£99.99",NA,"317",NA,NA,NA,NA,NA,NA
"37","Lithe Audio 6.5"" 2-way Passive Ceiling Speaker (01556) (single Passive), 60W RMS, Works with Any Amplifier, Perfect for Bedrooms, Bathrooms & Kitchens","£72.39£72.39",NA,"23",NA,NA,NA,NA,NA,NA
"38","Herdio 6.5 Inch Ceiling Speakers, 320W 2-Way in Ceiling Speakers Perfect for kitchen, bathroom, living room - A Pair","£91.66£91.66",NA,"79",NA,NA,NA,NA,NA,NA
"39","Bose Companion 50 USB","£99.99£99.99",NA,"691",NA,NA,NA,NA,NA,NA
"40","4 Way Loudspeaker Selector","£449.10£449.10",NA,"190",NA,NA,NA,NA,NA,NA
"41","Loops 120W 5.25” Indoor/Outdoor Active Bluetooth Wall Speakers – Pair of Black Stereo Wireless Music Streaming Speakers – IP56 External Weatherproof Garden Bar/Hot Tub Audio Home Entertainment System","£33.32£33.32","4.7 out of 5 stars","9",NA,NA,NA,NA,NA,NA
"42","Sonos Play:5 (Gen.2) black","£80.72£80.72","4.4 out of 5 stars","310",NA,NA,NA,NA,NA,NA
"43","Herdio 5.25 Inches 300 Watts Round Bluetooth Ceiling Speakers 2 Way Flush Mount Sound Bathroom Speaker For Bedroom Home Living Room","£107.99£107.99","4.4 out of 5 stars","791",NA,NA,NA,NA,NA,NA
"44","Herdio 4 Inches 160 Watts 2 Way Flush Mount Ceiling Speakers Perfect for Bathroom, Kitchen,Living Room,Office","£190.39£190.39","4.5 out of 5 stars","45",NA,NA,NA,NA,NA,NA
"45","E-Audio Bluetooth Ceiling Speaker Kit Bathroom Wireless Bluetooth Amplifier Water Resistant Ceiling Speakers (2 Way)","£24.29£24.29","4.3 out of 5 stars","217",NA,NA,NA,NA,NA,NA
"46","Pyle Outdoor Waterproof Wireless Bluetooth Speaker - 3.5 Inch Pair 3-Way Active Passive Weatherproof Wall, Ceiling Mount Dual Speakers System w/Heavy Duty Grill, Patio, Indoor Use PDWR42BBT (Black)","£33.29£33.29","4.3 out of 5 stars","1,426",NA,NA,NA,NA,NA,NA
